label,chunker,retriever,rerank,ndcg5_mean,ndcg5_lo,ndcg5_hi,recall5_mean,recall5_lo,recall5_hi,mrr_mean,mrr_lo,mrr_hi,p50_ms
bm25_fixed,fixed,bm25,False,0.6578286025263441,0.5989722376893888,0.718872868813254,0.8266666666666667,0.7666666666666667,0.8866666666666667,0.6108492063492063,0.5504039682539683,0.675743253968254,0.027854519430547953
bm25_fixed+rerank,fixed,bm25,True,0.7983184684846276,0.7501582924595688,0.8436886383198968,0.9266666666666666,0.88,0.9666666666666667,0.7543333333333334,0.7006555555555556,0.8051138888888889,58.58952095150016
dense_fixed,fixed,dense,False,0.6658616056671511,0.6088630926174194,0.7160512489446791,0.8666666666666667,0.8066666666666666,0.92,0.6130132275132275,0.5552866402116401,0.6673475529100529,4.327853996073827
dense_fixed+rerank,fixed,dense,True,0.8104749072765461,0.7668794176489527,0.8505787917558828,0.9533333333333334,0.9198333333333336,0.9866666666666667,0.7615555555555555,0.7095555555555556,0.809225,65.04204150405712
hybrid_rrf_fixed,fixed,hybrid_rrf,False,0.710024622175715,0.6540012559120375,0.7614164109109935,0.8933333333333333,0.84,0.94,0.6549232804232804,0.5969333333333333,0.7100871031746031,4.412958485772833
hybrid_rrf_fixed+rerank,fixed,hybrid_rrf,True,0.8104749072765461,0.7668794176489527,0.8505787917558828,0.9533333333333334,0.9198333333333336,0.9866666666666667,0.7615555555555555,0.7095555555555556,0.809225,64.15633350843564
bm25_sentwin,sentwin,bm25,False,0.6207393604376191,0.5532786802141345,0.6879341021895169,0.7466666666666667,0.6733333333333333,0.8133333333333334,0.5923068783068782,0.5277781746031746,0.6596198412698413,0.041521008824929595
bm25_sentwin+rerank,sentwin,bm25,True,0.7809644159063832,0.7275840333043267,0.8303018133425314,0.8933333333333333,0.8398333333333335,0.94,0.7424444444444444,0.6868833333333333,0.7968944444444443,36.10922899679281
dense_sentwin,sentwin,dense,False,0.70221219747423,0.6458760116466661,0.7513927588034587,0.8733333333333333,0.82,0.92,0.6509867724867725,0.592096626984127,0.7037034391534392,4.3392914813011885
dense_sentwin+rerank,sentwin,dense,True,0.81527729349022,0.771814383874337,0.8558852462499869,0.9533333333333334,0.9133333333333333,0.9866666666666667,0.7679999999999999,0.7164333333333334,0.8174444444444445,40.6709169910755
hybrid_rrf_sentwin,sentwin,hybrid_rrf,False,0.6976157755647061,0.64425705646971,0.7493904506410047,0.8866666666666667,0.8333333333333334,0.9333333333333333,0.6386349206349206,0.5824722222222224,0.6967333333333333,4.461979493498802
hybrid_rrf_sentwin+rerank,sentwin,hybrid_rrf,True,0.8124061164363974,0.7671392382988255,0.8547275473379495,0.9466666666666667,0.9066666666666666,0.98,0.7663333333333333,0.714661111111111,0.8157777777777778,40.6899590161629
